month,year,bust,cupsize,waist,hips,height,weight,bmi,waist2hip,model_of_the_year
June,1971,35.5,3,23,35.5,65.5,117,19.17161005,0.647887324,0
July,1971,32,2,23,33.5,64,103,17.67797852,0.686567164,0
August,1971,35,3,23,35,65.5,110,18.02459064,0.657142857,0
September,1971,37,3,22,35,67,118,18.47939407,0.628571429,0
October,1971,36,3,24,36,71,133,18.54770879,0.666666667,0
November,1971,36,4,25,34,64.5,120,20.27762755,0.735294118,0
December,1971,37,3,24,36,65,120,19.96686391,0.666666667,0
January,1972,36,5,24,35,68,119,18.09191176,0.685714286,1
February,1972,36,3,25,36,64.5,121,20.44660778,0.694444444,0
March,1972,36.5,4,23.5,35,63,107,18.952129,0.671428571,0
April,1972,34,3,22,34,68,115,17.48378028,0.647058824,0
May,1972,35,3,22,35,67,110,17.2265538,0.628571429,0
June,1972,36,4,24,36,67,122,19.10581421,0.666666667,0
July,1972,35,1,25,35,66,117,18.8822314,0.714285714,0
August,1972,35.5,3,23,34.5,62,105,19.20265349,0.666666667,0
September,1972,38.5,3,25,39,73,140,18.46875586,0.641025641,0
October,1972,40,5,22,37,68,125,19.004109,0.594594595,0
November,1972,34,2,26,36,66,110,17.75252525,0.722222222,0
December,1972,36,3,23,36,64,115,19.73754883,0.638888889,0
January,1973,38,4,22,36,64,108,18.53613281,0.611111111,0
February,1973,34,3,22,34,65,103,17.13822485,0.647058824,1
March,1973,36,3,23,36,65.5,113,18.51617039,0.638888889,0
April,1973,35,3,24,35,68,125,19.004109,0.685714286,0
May,1973,35,3,23,35,64,105,18.02124023,0.657142857,0
June,1973,35,3,23,35,62,103,18.83688866,0.657142857,0
July,1973,36,3,23,35,66,110,17.75252525,0.657142857,0
August,1973,35,3,23,35,67,120,18.79260414,0.657142857,0
September,1973,38,4,24,36,68,125,19.004109,0.666666667,0
October,1973,37,3,24,36,67,125,19.57562932,0.666666667,0
November,1973,37,4,24.5,36,62.5,108,19.436544,0.680555556,0
December,1973,38,4,23,36.5,68,125,19.004109,0.630136986,0
January,1974,35,4,23,35,68,118,17.93987889,0.657142857,0
February,1974,36,4,24,34,65,110,18.30295858,0.705882353,0
March,1974,36,3,24,36,63,112,19.8377425,0.666666667,0
April,1974,36,2,25,36,68.5,125,18.72768927,0.694444444,0
May,1974,39,6,24,36,67,130,20.35865449,0.666666667,1
June,1974,35,3,24,34,66,114,18.39807163,0.705882353,0
July,1974,37,4,22,35,66,115,18.55945822,0.628571429,0
August,1974,36,2,24,35,67,122,19.10581421,0.685714286,0
September,1974,34,3,23,35,65.5,112,18.35231047,0.657142857,0
October,1974,36,4,24,36,67.5,123,18.978107,0.666666667,0
November,1974,34.5,3,24,35,69.5,120,17.46493453,0.685714286,0
December,1974,38,3,26,37.5,70,143,20.51612245,0.693333333,0
January,1975,37,3,22,35,67,120,18.79260414,0.628571429,0
February,1975,37,3,24,36,65,110,18.30295858,0.666666667,0
March,1975,36,3,24,36,66.5,116,18.44038668,0.666666667,0
April,1975,36,3,23,35,66,115,18.55945822,0.657142857,0
May,1975,35,2,23,34,66,105,16.94559229,0.676470588,0
June,1975,36,4,23,36.5,66,119,19.20500459,0.630136986,0
July,1975,36,3,22.5,35,63,108,19.1292517,0.642857143,0
August,1975,36,3,24,35,68,125,19.004109,0.685714286,1
September,1975,35,4,24,34,64.5,110,18.58782525,0.705882353,0
October,1975,34,3,23,34,67,103,16.13031856,0.676470588,0
November,1975,39,6,24,36,66,125,20.17332415,0.666666667,0
December,1975,36,4,24,35,66,110,17.75252525,0.685714286,0
January,1976,36,4,25,36,67,127,19.88883939,0.694444444,0
February,1976,35,3,25,37,65,120,19.96686391,0.675675676,0
March,1976,34,3,25,35,65.5,110,18.02459064,0.714285714,0
April,1976,36,4,25,36,65.5,120,19.66318979,0.694444444,0
May,1976,34,3,24,37,68,125,19.004109,0.648648649,0
June,1976,36,4,24,34,66,118,19.043618,0.705882353,0
July,1976,34,3,22,34.5,64.5,102,17.23598341,0.637681159,0
August,1976,35,3,24,35,66,100,16.13865932,0.685714286,0
September,1976,35,1,23,34,63,105,18.5978836,0.676470588,0
October,1976,36.5,4,25,36,68,120,18.24394464,0.694444444,0
November,1976,35,3,23,35,65,115,19.13491124,0.657142857,1
December,1976,35,3,23,35,68,118,17.93987889,0.657142857,0
January,1977,37,4,24,37,68,135,20.52443772,0.648648649,0
February,1977,32,3,21,33,66,120,19.36639118,0.636363636,0
March,1977,33.5,3,23,35,65,112,18.63573964,0.657142857,0
April,1977,35,3,24,35,68,120,18.24394464,0.685714286,0
May,1977,38,4,25,36,68,130,19.76427336,0.694444444,0
June,1977,36,4,22,32,62.5,105,18.89664,0.6875,0
July,1977,34,3,24,35,66,110,17.75252525,0.685714286,0
August,1977,36,5,23,32,66,112,18.07529844,0.71875,0
September,1977,35,3,24,36,64,114,19.56591797,0.666666667,1
October,1977,34,4,24.5,34,66,119,19.20500459,0.720588235,0
November,1977,36,,23,36,70,125,17.93367347,0.638888889,0
December,1977,36,3,24,35,68,120,18.24394464,0.685714286,0
January,1978,36,3,24,35,68,120,18.24394464,0.685714286,0
February,1978,34,4,24,35,64,110,18.87939453,0.685714286,0
March,1978,34,3,24,35,66,110,17.75252525,0.685714286,0
April,1978,35,3,24,35,65,115,19.13491124,0.685714286,0
May,1978,34,3,23,34,67,110,17.2265538,0.676470588,0
June,1978,34,3,22,34,61,103,19.45955388,0.647058824,0
July,1978,32,2,22,32,66,95,15.33172635,0.6875,0
August,1978,36,4,24,36,67,117,18.32278904,0.666666667,0
September,1978,36,3,23,34,62,101,18.47112383,0.676470588,0
October,1978,35,3,23,35,68,117,17.78784602,0.657142857,0
November,1978,36,3,26,36,67,117,18.32278904,0.722222222,1
December,1978,36,5,24,36,67.5,118,18.20663923,0.666666667,0
January,1979,37,6,24,34,67,110,17.2265538,0.705882353,0
February,1979,35,3,23,35,64,107,18.36450195,0.657142857,0
